year_birth,age,education,marital_status,income,kidhome,teenhome,dt_customer,customer_since_years,column1,unnamed:_0,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,z_costcontact,z_revenue,response
1951,74,Graduation,Together,40689,0,1,18-03-2013,12,1409,24,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0
1969,56,Graduation,Single,18589,0,0,02-01-2013,12,7892,25,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0
1976,49,Graduation,Married,53359,1,1,27-05-2013,11,2404,26,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0
1986,39,Graduation,Single,unknown,1,0,20-02-2013,12,5255,27,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0
1989,36,Graduation,Married,38360,1,0,31-05-2013,11,9422,28,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0
1965,60,Phd,Married,84618,0,0,22-11-2013,11,1966,29,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0
1989,36,Master,Divorced,10979,0,0,22-05-2014,10,6864,30,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0
1963,62,Master,Together,38620,0,0,11-05-2013,11,3033,31,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0
1970,55,Graduation,Together,40548,0,1,10-10-2012,12,5710,32,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0
1952,73,Phd,Divorced,46610,0,2,29-10-2012,12,7373,33,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1
1946,79,Master,Married,68657,0,0,20-02-2013,12,8755,34,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0
1951,74,Master,Single,49389,1,1,29-08-2013,11,10738,35,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0
1970,55,Phd,Married,67353,0,1,31-12-2013,11,4339,36,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0
1976,49,2N Cycle,Married,23718,1,0,02-09-2013,11,10755,37,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0
1973,52,Graduation,Widow,42429,0,1,11-02-2014,11,8595,38,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0
1943,82,Phd,Divorced,48948,0,0,01-02-2013,12,2968,39,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1
1980,45,Graduation,Married,80011,0,1,29-04-2013,11,8601,40,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0
1985,40,Master,Married,20559,1,0,12-03-2013,12,503,41,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0
1957,68,Graduation,Together,21994,0,1,24-12-2012,12,8430,42,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0
1959,66,Phd,Single,unknown,0,0,05-11-2013,11,7281,43,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0
1975,50,Master,Married,7500,1,0,02-10-2013,11,2139,44,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0
1976,49,Graduation,Single,79941,0,0,28-06-2014,10,1371,45,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0
1996,29,2N Cycle,Married,7500,0,0,09-11-2012,12,9909,46,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1
1968,57,Graduation,Together,41728,1,0,24-05-2013,11,7286,47,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0
1951,74,Graduation,Single,unknown,2,1,01-01-2014,11,7244,48,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0
1954,71,Phd,Married,72550,1,1,08-11-2012,12,6566,49,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0
1957,68,Graduation,Widow,65486,0,1,12-05-2014,10,8614,50,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0
1964,61,Master,Married,79143,0,0,11-08-2012,12,4114,51,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0
1977,48,Graduation,Single,35790,1,0,02-01-2013,12,1331,52,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0
1977,48,Graduation,Divorced,82582,0,0,07-06-2014,10,2225,53,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1
1978,47,Graduation,Married,66373,1,1,12-06-2013,11,9381,54,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0
1955,70,Master,Together,82384,0,0,19-11-2012,12,6260,55,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1
1966,59,Graduation,Divorced,70287,0,0,02-04-2013,12,10383,56,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1
1988,37,Graduation,Single,27938,1,0,28-04-2014,10,7437,57,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0
1982,43,Graduation,Single,unknown,1,0,17-06-2013,11,8557,58,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0
1968,57,Phd,Married,55954,0,1,03-03-2014,11,8375,59,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0
1982,43,Master,Single,75777,0,0,04-07-2013,11,6853,60,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1
1975,50,Graduation,Together,66653,1,1,07-09-2012,12,3076,61,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0
1952,73,Graduation,Single,61823,0,1,18-02-2013,12,1012,62,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0
1951,74,Phd,Widow,67680,0,1,11-06-2013,11,6518,63,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0
1948,77,Graduation,Together,70666,0,0,06-12-2013,11,4137,64,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0
1971,54,Graduation,Married,25721,1,0,21-05-2013,11,8082,65,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1
1967,58,Graduation,Together,32474,1,1,11-05-2014,10,1386,66,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0
1979,46,2N Cycle,Single,88194,0,1,19-03-2014,11,9369,67,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1
1958,67,Graduation,Together,69096,0,1,27-09-2013,11,4477,68,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0
1970,55,Graduation,Together,74854,1,2,08-04-2013,12,1357,69,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0
1954,71,Master,Married,66991,0,0,11-09-2012,12,1402,70,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0
1973,52,2N Cycle,Married,unknown,1,0,14-09-2012,12,10629,71,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0
1959,66,Graduation,Married,65031,0,1,17-03-2013,12,6312,72,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0
1975,50,Phd,Married,60631,1,1,05-04-2013,12,8132,73,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0
1952,73,Graduation,Married,28332,0,0,30-04-2014,10,1050,74,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0
1977,48,Graduation,Divorced,40246,1,0,19-12-2012,12,5846,75,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0
1972,53,Master,Married,75251,0,0,27-08-2012,12,1859,76,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1
1976,49,Graduation,Single,75825,0,0,12-10-2012,12,7503,77,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1
1976,49,2N Cycle,Together,26326,0,0,04-09-2013,11,10401,78,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0
1965,60,Graduation,Together,56046,0,0,02-01-2013,12,1618,79,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1
1985,40,Graduation,Single,29760,1,0,29-08-2012,12,3332,80,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0
1969,56,Graduation,Married,26304,1,0,23-06-2013,11,2261,81,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0
1973,52,2N Cycle,Married,23559,1,0,03-07-2013,11,5346,82,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0
1963,62,Master,Together,38620,0,0,11-05-2013,11,4119,83,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0
1987,38,Graduation,Divorced,81361,0,0,25-02-2014,11,535,84,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0
1960,65,Graduation,Married,29440,1,1,11-08-2013,11,5268,85,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0
1970,55,Master,Married,36138,1,1,16-07-2013,11,273,86,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0
1957,68,Graduation,Single,50388,0,1,28-05-2014,10,4452,87,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1
1973,52,Graduation,Married,79593,0,0,12-05-2014,10,8504,88,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0
1967,58,Graduation,Together,54178,0,1,21-01-2014,11,771,89,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0
1957,68,Phd,Married,unknown,2,1,19-11-2012,12,8996,90,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0
1957,68,Graduation,Single,unknown,1,1,27-05-2014,10,9235,91,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0
1973,52,Master,Together,unknown,0,0,23-11-2013,11,5798,92,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0
1972,53,Master,Single,42394,1,0,23-03-2014,11,11178,93,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0
1970,55,Phd,Married,23626,1,0,24-05-2014,10,2230,94,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0
1983,42,Graduation,Married,30096,1,0,22-05-2014,10,7516,95,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0
1960,65,Graduation,Widow,47916,0,1,22-11-2012,12,7247,96,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0
1972,53,Graduation,Divorced,51813,1,1,11-04-2013,11,11100,97,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0
1951,74,2N Cycle,Married,78497,0,0,01-12-2013,11,4646,98,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0
1983,42,Phd,Married,50150,0,0,20-06-2013,11,3037,99,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0
1960,65,2N Cycle,Single,47823,0,1,23-07-2013,11,1473,100,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0
1959,66,Phd,Single,34554,0,1,30-03-2014,11,1016,101,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0
1979,46,Graduation,Together,85693,0,1,20-04-2013,11,4518,102,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0
1945,80,Phd,Married,65846,0,0,17-05-2013,11,9370,103,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0
1959,66,Graduation,Married,87195,0,0,08-05-2014,10,8908,104,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1
1979,46,Basic,Together,24594,1,0,10-12-2013,11,8373,105,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0
1964,61,Graduation,Married,49096,1,1,24-09-2013,11,7533,106,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0
1969,56,Graduation,Married,52413,0,2,02-02-2013,12,2683,107,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0
1978,47,Graduation,Single,38557,1,0,19-12-2012,12,3629,108,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0
1960,65,Master,Married,89058,0,0,07-12-2012,12,10991,109,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0
1979,46,Graduation,Together,77298,0,1,02-11-2013,11,5077,110,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0
1991,34,Phd,Single,68126,0,0,10-11-2012,12,7431,111,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1
1963,62,Master,Together,57288,0,1,25-06-2014,10,3267,112,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0
1991,34,Graduation,Single,86037,0,0,02-01-2013,12,999,113,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1
1980,45,Phd,Married,43974,1,0,12-12-2012,12,9215,114,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0
1962,63,Graduation,Single,50785,1,1,10-09-2013,11,2286,115,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0
1970,55,Graduation,Married,90765,0,0,24-01-2014,11,1592,116,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0
1978,47,2N Cycle,Married,36550,1,0,19-02-2013,12,367,117,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0
1967,58,2N Cycle,Together,30753,1,1,11-07-2013,11,5234,118,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0
1969,56,Graduation,Together,21918,1,0,14-11-2013,11,9862,119,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0
1953,72,Master,Together,56129,0,1,20-06-2013,11,9805,120,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0
1967,58,Master,Single,32557,1,0,24-02-2014,11,6205,121,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1
1985,40,Master,Married,19510,2,0,04-09-2013,11,8442,122,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0
1976,49,Graduation,Divorced,30992,1,0,22-04-2013,11,7386,123,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0
1983,42,Graduation,Single,101970,0,0,12-03-2013,12,7215,124,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1
1965,60,2N Cycle,Together,71488,0,0,18-02-2013,12,1491,125,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0
1984,41,Graduation,Single,79607,0,0,21-04-2013,11,11071,126,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1
1953,72,Master,Married,54348,1,1,08-06-2014,10,3381,127,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0
1961,64,Phd,Married,unknown,0,1,11-07-2013,11,8268,128,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0
1956,69,Phd,Together,77376,1,1,10-05-2014,10,11051,129,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0
1952,73,Graduation,Married,62998,0,1,30-09-2013,11,8026,130,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0
1958,67,Master,Alone,61331,1,1,10-03-2013,12,433,131,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0
1969,56,Graduation,Married,73448,0,0,10-02-2014,11,9597,132,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0
1963,62,Graduation,Married,unknown,0,1,11-08-2013,11,1295,133,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,3,11,0
1964,61,Phd,Married,41551,1,1,14-08-2013,11,5290,134,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0
1967,58,Phd,Together,62981,0,0,17-03-2013,12,1685,135,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0
1976,49,Basic,Divorced,9548,1,0,08-08-2012,12,5342,136,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0
1959,66,Phd,Married,33762,2,1,07-07-2013,11,9579,137,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0
1973,52,Phd,Alone,35860,1,1,19-05-2014,10,7660,138,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1
1965,60,Phd,Divorced,36921,1,1,28-07-2013,11,1461,139,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0
1992,33,Master,Single,92859,0,0,19-10-2012,12,821,140,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0
1976,49,Master,Together,65104,0,1,14-11-2013,11,11084,141,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1
1962,63,Graduation,Married,86111,0,0,19-04-2013,11,8690,142,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0
1974,51,Phd,Single,68352,0,1,28-08-2013,11,2937,143,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0
1988,37,Graduation,Together,41883,1,0,19-03-2013,12,9701,144,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0
1976,49,Graduation,Married,59809,0,2,18-10-2012,12,9949,145,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0
1975,50,Graduation,Married,23957,1,0,28-10-2012,12,10837,146,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1
1981,44,Graduation,Together,38547,1,0,28-08-2013,11,3120,147,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0
1973,52,2N Cycle,Married,35688,2,1,22-08-2012,12,5885,148,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0
1966,59,Master,Married,49605,0,0,21-06-2014,10,4050,149,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0
1953,72,Master,Married,59354,0,2,24-04-2014,10,3830,150,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0
1969,56,Graduation,Married,65747,0,1,07-03-2014,11,7987,151,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0
1972,53,2N Cycle,Together,46344,0,1,14-12-2012,12,7798,152,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0
1988,37,Graduation,Alone,34176,1,0,12-05-2014,10,92,153,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0
1952,73,Phd,Together,61010,0,1,09-10-2012,12,7055,154,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0
1949,76,Graduation,Together,69372,0,0,19-02-2013,12,10240,155,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1
1958,67,Graduation,Single,49967,0,1,08-07-2013,11,3025,156,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0
1978,47,Graduation,Single,60199,1,2,12-09-2013,11,9283,157,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0
1977,48,Graduation,Together,55375,0,1,17-10-2013,11,9970,158,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0
1955,70,Graduation,Single,80317,0,0,20-08-2013,11,2730,159,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0
1958,67,Master,Single,30523,2,1,01-07-2013,11,2795,160,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0
1945,80,Phd,Married,70356,0,0,05-11-2012,12,9260,161,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,3,11,0
1984,41,Graduation,Married,23228,1,0,05-01-2014,11,8182,162,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,3,11,0
1975,50,Phd,Divorced,74165,0,0,01-05-2013,11,10095,163,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,3,11,0
1973,52,Phd,Married,157243,0,1,01-03-2014,11,8475,164,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,3,11,0
1966,59,Graduation,Together,43482,2,1,13-11-2013,11,4370,165,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,3,11,0
1953,72,Graduation,Divorced,62551,0,0,18-11-2013,11,10573,166,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,3,11,0
1959,66,Graduation,Divorced,52332,0,0,28-08-2013,11,3712,167,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,3,11,0
1988,37,Graduation,Single,66951,0,0,02-11-2013,11,6637,168,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,3,11,0
1957,68,Graduation,Together,26091,1,1,25-02-2014,11,3152,169,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,3,11,0
1965,60,Graduation,Together,33456,1,1,21-04-2014,10,5610,170,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0
1982,43,Graduation,Married,28718,1,0,13-07-2013,11,6460,171,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,3,11,0
1970,55,Graduation,Married,50447,2,0,21-04-2014,10,1349,172,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,3,11,0
1959,66,Phd,Together,53537,1,1,30-01-2014,11,1880,173,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,3,11,0
1967,58,Graduation,Single,52074,0,1,04-04-2014,11,641,174,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,3,11,0
1975,50,Phd,Married,80427,0,1,12-09-2012,12,8717,175,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,3,11,0
1948,77,Phd,Married,83837,0,0,16-12-2012,12,10314,176,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,3,11,1
1970,55,Phd,Married,38853,1,1,23-05-2014,10,10854,177,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0
1959,66,Graduation,Together,38285,2,1,24-06-2014,10,10492,178,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,3,11,0
